index	chr	dom start	dom end	overlap %age	overlaps with	hier level
167	chr9	70880000	71040000	0.00271186440678	0	2
21	chr9	71080000	72440000	0.0230508474576	0	2
3	chr9	72480000	78840000	0.107796610169	0	2
37	chr9	79040000	80040000	0.0169491525424	0	2
5	chr9	80080000	85560000	0.0928813559322	0	2
96	chr9	85760000	86160000	0.00677966101695	0	2
30	chr9	86280000	87480000	0.0203389830508	0	2
118	chr9	87760000	88080000	0.00542372881356	0	2
17	chr9	88120000	89680000	0.0264406779661	0	2
25	chr9	89800000	91120000	0.0223728813559	0	2
211	chr9	91160000	91240000	0.00135593220339	0	2
212	chr9	91240000	91320000	0.00135593220339	0	2
180	chr9	91400000	91520000	0.00203389830508	0	2
245	chr9	91640000	91680000	0.000677966101695	0	2
46	chr9	91880000	92680000	0.0135593220339	0	2
41	chr9	92720000	93600000	0.0149152542373	0	2
91	chr9	94080000	94520000	0.00745762711864	0	2
74	chr9	94840000	95400000	0.00949152542373	0	2
216	chr9	95600000	95680000	0.00135593220339	0	2
153	chr9	95840000	96040000	0.00338983050847	0	2
247	chr9	96400000	96440000	0.000677966101695	0	2
86	chr9	96480000	96960000	0.00813559322034	0	2
31	chr9	97000000	98120000	0.0189830508475	0	2
120	chr9	98160000	98480000	0.00542372881356	0	2
170	chr9	98520000	98680000	0.00271186440678	0	2
154	chr9	99240000	99440000	0.00338983050847	0	2
105	chr9	99480000	99840000	0.00610169491525	0	2
58	chr9	99880000	100600000	0.0122033898305	0	2
121	chr9	100640000	100960000	0.00542372881356	0	2
20	chr9	101000000	102400000	0.0237288135593	0	2
7	chr9	102440000	106560000	0.0698305084746	0	2
52	chr9	106600000	107360000	0.0128813559322	0	2
185	chr9	107400000	107520000	0.00203389830508	0	2
19	chr9	107680000	109160000	0.0250847457627	0	2
23	chr9	109280000	110640000	0.0230508474576	0	2
63	chr9	110680000	111320000	0.0108474576271	0	2
24	chr9	112040000	113400000	0.0230508474576	0	2
26	chr9	113440000	114760000	0.0223728813559	0	2
81	chr9	114960000	115480000	0.00881355932203	0	2
108	chr9	115520000	115880000	0.00610169491525	0	2
156	chr9	115920000	116120000	0.00338983050847	0	2
32	chr9	116240000	117360000	0.0189830508475	0	2
35	chr9	117400000	118480000	0.0183050847458	0	2
8	chr9	118520000	122400000	0.0657627118644	0	2
47	chr9	122440000	123240000	0.0135593220339	0	2
82	chr9	123360000	123880000	0.00881355932203	0	2
59	chr9	123920000	124640000	0.0122033898305	0	2
83	chr9	124680000	125200000	0.00881355932203	0	2
40	chr9	125240000	126160000	0.015593220339	0	2
100	chr9	126200000	126600000	0.00677966101695	0	2
128	chr9	126720000	127000000	0.00474576271186	0	2
27	chr9	127280000	128600000	0.0223728813559	0	2
64	chr9	128640000	129280000	0.0108474576271	0	2
188	chr9	130320000	130440000	0.272727272727	92	2
189	chr9	130560000	130680000	0.272727272727	92	2
250	chr9	130880000	130920000	0.0588235294118	62	2
87	chr9	130960000	131440000	0.705882352941	62	2
190	chr9	131480000	131600000	0.176470588235	62	2
141	chr9	132320000	132560000	0.375	65	2
110	chr9	132600000	132960000	0.5625	65	2
102	chr9	133000000	133400000	0.322580645161	29	2
48	chr9	133440000	134240000	0.645161290323	29	2
112	chr9	135240000	135600000	0.5625	67	2
143	chr9	135640000	135880000	0.375	67	2
224	chr9	136280000	136360000	0.4	165	2
225	chr9	136400000	136480000	0.4	165	2
226	chr9	136640000	136720000	0.333333333333	144	2
253	chr9	136840000	136880000	0.166666666667	144	2
145	chr9	136920000	137160000	0.5	89	2
227	chr9	137280000	137360000	0.166666666667	89	2
255	chr9	138120000	138160000	0.25	172	2
191	chr9	138200000	138320000	0.75	172	2
192	chr9	139720000	139840000	0.75	173	2
174	chr9	1840000	1960000	0.130434782609	38	3
42	chr9	2880000	3720000	0.466666666667	13	3
68	chr9	3760000	4360000	0.333333333333	13	3
131	chr9	4400000	4640000	0.133333333333	13	3
33	chr9	4680000	5760000	0.6	13	3
132	chr9	5800000	6040000	0.461538461538	77	3
133	chr9	6080000	6320000	0.461538461538	77	3
55	chr9	6840000	7560000	0.123287671233	4	3
146	chr9	12720000	12920000	0.0943396226415	11	3
233	chr9	21320000	21360000	0.5	198	3
235	chr9	33000000	33040000	0.2	147	3
200	chr9	33640000	33720000	0.222222222222	103	3
134	chr9	33760000	34000000	0.666666666667	103	3
201	chr9	34440000	34520000	0.666666666667	176	3
236	chr9	34640000	34680000	0.037037037037	34	3
149	chr9	34720000	34920000	0.185185185185	34	3
237	chr9	35040000	35080000	0.037037037037	34	3
84	chr9	35120000	35600000	0.444444444444	34	3
90	chr9	35760000	36200000	0.611111111111	56	3
135	chr9	36240000	36480000	0.333333333333	56	3
203	chr9	36640000	36720000	0.105263157895	49	3
72	chr9	36880000	37440000	0.736842105263	49	3
204	chr9	37480000	37560000	0.08	36	3
136	chr9	37600000	37840000	0.24	36	3
73	chr9	37880000	38440000	0.56	36	3
239	chr9	38720000	38760000	0.5	205	3
39	chr9	71160000	72080000	0.676470588235	21	3
115	chr9	72120000	72440000	0.235294117647	21	3
6	chr9	72480000	77000000	0.710691823899	3	3
14	chr9	77040000	78840000	0.283018867925	3	3
150	chr9	79040000	79240000	0.2	37	3
50	chr9	79280000	80040000	0.76	37	3
208	chr9	80080000	80160000	0.014598540146	5	3
22	chr9	80200000	81560000	0.248175182482	5	3
9	chr9	81600000	85440000	0.700729927007	5	3
179	chr9	87760000	87880000	0.375	118	3
242	chr9	88040000	88080000	0.125	118	3
210	chr9	88120000	88200000	0.0512820512821	17	3
45	chr9	88360000	89160000	0.512820512821	17	3
125	chr9	89200000	89480000	0.179487179487	17	3
243	chr9	89640000	89680000	0.025641025641	17	3
244	chr9	89800000	89840000	0.030303030303	25	3
97	chr9	90000000	90400000	0.30303030303	25	3
104	chr9	90440000	90800000	0.272727272727	25	3
151	chr9	90920000	91120000	0.151515151515	25	3
213	chr9	91440000	91520000	0.666666666667	180	3
152	chr9	91760000	91960000	0.25	46	3
69	chr9	92080000	92680000	0.75	46	3
119	chr9	93560000	93880000	0.363636363636	41	3
169	chr9	94520000	94680000	0.363636363636	91	3
98	chr9	94840000	95240000	0.714285714286	74	3
214	chr9	95280000	95360000	0.142857142857	74	3
215	chr9	95400000	95480000	0.142857142857	74	3
182	chr9	98560000	98680000	0.75	170	3
183	chr9	99880000	100000000	0.166666666667	58	3
75	chr9	100040000	100600000	0.777777777778	58	3
184	chr9	102280000	102400000	0.0857142857143	20	3
51	chr9	102440000	103200000	0.184466019417	7	3
171	chr9	103240000	103400000	0.0388349514563	7	3
10	chr9	103440000	106560000	0.757281553398	7	3
186	chr9	109040000	109160000	0.0810810810811	19	3
99	chr9	110720000	111120000	0.625	63	3
218	chr9	111240000	111320000	0.125	63	3
61	chr9	111360000	112040000	0.5	24	3
53	chr9	112440000	113200000	0.558823529412	24	3
54	chr9	113440000	114200000	0.575757575758	26	3
80	chr9	114240000	114760000	0.393939393939	26	3
107	chr9	115120000	115480000	0.692307692308	81	3
70	chr9	116240000	116840000	0.535714285714	32	3
71	chr9	122400000	123000000	0.75	47	3
158	chr9	123040000	123240000	0.25	47	3
109	chr9	123920000	124280000	0.5	59	3
124	chr9	124320000	124640000	0.444444444444	59	3
159	chr9	124680000	124880000	0.384615384615	83	3
160	chr9	124920000	125120000	0.384615384615	83	3
76	chr9	125280000	125840000	0.608695652174	40	3
161	chr9	125960000	126160000	0.217391304348	40	3
129	chr9	128320000	128600000	0.212121212121	27	3
220	chr9	128640000	128720000	0.125	64	3
249	chr9	130680000	130720000	0.333333333333	189	3
251	chr9	132280000	132320000	0.166666666667	141	3
163	chr9	133000000	133200000	0.5	102	3
221	chr9	133320000	133400000	0.2	102	3
164	chr9	133440000	133640000	0.25	48	3
88	chr9	133680000	134160000	0.6	48	3
223	chr9	135240000	135320000	0.222222222222	112	3
142	chr9	135360000	135600000	0.666666666667	112	3
229	chr9	138200000	138280000	0.666666666667	191	3
177	chr9	35600000	35720000	0.25	84	4
238	chr9	36680000	36720000	0.5	203	4
206	chr9	71080000	71160000	0.0869565217391	39	4
16	chr9	72480000	74080000	0.353982300885	6	4
116	chr9	74120000	74440000	0.070796460177	6	4
12	chr9	74640000	76560000	0.424778761062	6	4
138	chr9	76760000	77000000	0.0530973451327	6	4
95	chr9	77160000	77560000	0.222222222222	14	4
79	chr9	77680000	78200000	0.288888888889	14	4
117	chr9	78240000	78560000	0.177777777778	14	4
139	chr9	78600000	78840000	0.133333333333	14	4
178	chr9	85440000	85560000	0.03125	9	4
168	chr9	93720000	93880000	0.5	119	4
181	chr9	94520000	94640000	0.75	169	4
217	chr9	98600000	98680000	0.666666666667	182	4
122	chr9	111360000	111680000	0.470588235294	61	4
126	chr9	111720000	112000000	0.411764705882	61	4
106	chr9	112040000	112400000	0.529411764706	61	4
127	chr9	113240000	113520000	0.368421052632	54	4
123	chr9	113560000	113880000	0.421052631579	54	4
155	chr9	114760000	114960000	0.384615384615	80	4
157	chr9	116240000	116440000	0.333333333333	70	4
140	chr9	116560000	116800000	0.4	70	4
162	chr9	128400000	128600000	0.714285714286	129	4
111	chr9	133680000	134040000	0.75	88	4
222	chr9	134160000	134240000	0.166666666667	88	4
202	chr9	35640000	35720000	0.666666666667	177	5
240	chr9	71080000	71120000	0.5	206	5
85	chr9	72600000	73080000	0.3	16	5
57	chr9	73120000	73840000	0.45	16	5
241	chr9	74040000	74080000	0.025	16	5
18	chr9	75040000	76520000	0.770833333333	12	5
209	chr9	85480000	85560000	0.666666666667	178	5
246	chr9	94640000	94680000	0.333333333333	181	5
219	chr9	114760000	114840000	0.4	155	5
187	chr9	114960000	115080000	0.6	155	5
252	chr9	134200000	134240000	0.5	222	5
94	chr9	74640000	75040000	0.27027027027	18	6
248	chr9	114800000	114840000	0.5	219	6
137	chr9	74640000	74880000	0.6	94	7
207	chr9	74920000	75000000	0.2	94	7
73	chr19	1600000	1760000	0	-1	1
118	chr19	1920000	1960000	0	-1	1
84	chr19	2160000	2280000	0	-1	1
26	chr19	2600000	3280000	0	-1	1
74	chr19	3680000	3840000	0	-1	1
119	chr19	3960000	4000000	0	-1	1
23	chr19	4880000	5640000	0	-1	1
34	chr19	5840000	6280000	0	-1	1
120	chr19	6560000	6600000	0	-1	1
121	chr19	6880000	6920000	0	-1	1
122	chr19	7120000	7160000	0	-1	1
123	chr19	7360000	7400000	0	-1	1
87	chr19	7960000	8080000	0	-1	1
65	chr19	8320000	8520000	0	-1	1
100	chr19	8800000	8880000	0	-1	1
25	chr19	9080000	9800000	0	-1	1
66	chr19	9920000	10120000	0	-1	1
76	chr19	10520000	10680000	0	-1	1
102	chr19	10760000	10840000	0	-1	1
77	chr19	10880000	11040000	0	-1	1
125	chr19	11320000	11360000	0	-1	1
17	chr19	11560000	12560000	0	-1	1
78	chr19	12680000	12840000	0	-1	1
126	chr19	13000000	13040000	0	-1	1
33	chr19	13240000	13720000	0	-1	1
127	chr19	13880000	13920000	0	-1	1
12	chr19	14600000	16200000	0	-1	1
103	chr19	16600000	16680000	0	-1	1
68	chr19	17640000	17840000	0	-1	1
129	chr19	17920000	17960000	0	-1	1
104	chr19	18160000	18240000	0	-1	1
35	chr19	18440000	18880000	0	-1	1
92	chr19	19000000	19120000	0	-1	1
131	chr19	19400000	19440000	0	-1	1
4	chr19	19720000	24400000	0	-1	1
0	chr19	32480000	43240000	0	-1	1
42	chr19	44240000	44600000	0	-1	1
27	chr19	44760000	45440000	0	-1	1
110	chr19	45880000	45960000	0	-1	1
80	chr19	46160000	46320000	0	-1	1
134	chr19	46480000	46520000	0	-1	1
37	chr19	46640000	47080000	0	-1	1
59	chr19	47240000	47480000	0	-1	1
20	chr19	47640000	48520000	0	-1	1
16	chr19	48760000	49920000	0	-1	1
138	chr19	50120000	50160000	0	-1	1
139	chr19	50200000	50240000	0	-1	1
140	chr19	50520000	50560000	0	-1	1
113	chr19	50920000	51000000	0	-1	1
28	chr19	51160000	51800000	0	-1	1
29	chr19	51840000	52440000	0	-1	1
62	chr19	52680000	52920000	0	-1	1
56	chr19	53200000	53480000	0	-1	1
141	chr19	53640000	53680000	0	-1	1
21	chr19	53840000	54680000	0	-1	1
115	chr19	54960000	55040000	0	-1	1
96	chr19	55160000	55280000	0	-1	1
2	chr19	56080000	63680000	0	-1	1
47	chr19	2600000	2920000	0.470588235294	26	2
85	chr19	2960000	3080000	0.176470588235	26	2
86	chr19	3160000	3280000	0.176470588235	26	2
75	chr19	4800000	4960000	0.210526315789	23	2
99	chr19	5840000	5920000	0.181818181818	34	2
124	chr19	8800000	8840000	0.5	100	2
101	chr19	9920000	10000000	0.4	66	2
88	chr19	10520000	10640000	0.75	76	2
89	chr19	12680000	12800000	0.75	78	2
40	chr19	14600000	14960000	0.225	12	2
41	chr19	15080000	15440000	0.225	12	2
38	chr19	15600000	16000000	0.25	12	2
90	chr19	16040000	16160000	0.075	12	2
51	chr19	16200000	16480000	0.175	12	2
91	chr19	17640000	17760000	0.6	68	2
130	chr19	19000000	19040000	0.333333333333	92	2
1	chr19	32480000	40800000	0.773234200743	0	2
108	chr19	41120000	41200000	0.00743494423792	0	2
10	chr19	41400000	43080000	0.156133828996	0	2
36	chr19	43120000	43560000	0.0408921933086	0	2
109	chr19	44280000	44360000	0.222222222222	42	2
133	chr19	44560000	44600000	0.111111111111	42	2
58	chr19	44760000	45000000	0.352941176471	27	2
53	chr19	45160000	45440000	0.411764705882	27	2
135	chr19	47240000	47280000	0.166666666667	59	2
81	chr19	47320000	47480000	0.666666666667	59	2
54	chr19	47640000	47920000	0.318181818182	20	2
111	chr19	48200000	48280000	0.0909090909091	20	2
136	chr19	48320000	48360000	0.0454545454545	20	2
137	chr19	48480000	48520000	0.0454545454545	20	2
22	chr19	48960000	49760000	0.689655172414	16	2
95	chr19	49800000	49920000	0.103448275862	16	2
43	chr19	51160000	51520000	0.5625	28	2
71	chr19	51600000	51800000	0.3125	28	2
55	chr19	51920000	52200000	0.466666666667	29	2
72	chr19	52240000	52440000	0.333333333333	29	2
44	chr19	53840000	54200000	0.428571428571	21	2
142	chr19	54240000	54280000	0.047619047619	21	2
45	chr19	54320000	54680000	0.428571428571	21	2
7	chr19	56280000	58720000	0.321052631579	2	2
143	chr19	59120000	59160000	0.00526315789474	2	2
116	chr19	59360000	59440000	0.0105263157895	2	2
82	chr19	59760000	59920000	0.0210526315789	2	2
32	chr19	60320000	60840000	0.0684210526316	2	2
6	chr19	61040000	63680000	0.347368421053	2	2
57	chr19	2680000	2920000	0.75	47	3
97	chr19	2960000	3040000	0.666666666667	85	3
98	chr19	3200000	3280000	0.666666666667	86	3
67	chr19	16200000	16400000	0.714285714286	51	3
128	chr19	16440000	16480000	0.142857142857	51	3
3	chr19	32480000	38160000	0.682692307692	1	3
19	chr19	38480000	39360000	0.105769230769	1	3
30	chr19	39720000	40280000	0.0673076923077	1	3
39	chr19	40400000	40800000	0.0480769230769	1	3
70	chr19	43120000	43320000	0.454545454545	36	3
79	chr19	43440000	43600000	0.363636363636	36	3
60	chr19	48760000	49000000	0.3	22	3
61	chr19	51240000	51480000	0.666666666667	43	3
114	chr19	54320000	54400000	0.222222222222	45	3
63	chr19	54440000	54680000	0.666666666667	45	3
11	chr19	57040000	58720000	0.688524590164	7	3
49	chr19	60320000	60640000	0.615384615385	32	3
117	chr19	60760000	60840000	0.153846153846	32	3
13	chr19	61040000	62400000	0.515151515152	6	3
15	chr19	62440000	63680000	0.469696969697	6	3
8	chr19	32480000	34800000	0.408450704225	3	4
5	chr19	34920000	37800000	0.507042253521	3	4
105	chr19	38080000	38160000	0.0140845070423	3	4
48	chr19	39360000	39680000	0.363636363636	19	4
107	chr19	40200000	40280000	0.142857142857	30	4
93	chr19	43120000	43240000	0.6	70	4
94	chr19	43440000	43560000	0.75	79	4
112	chr19	48760000	48840000	0.333333333333	60	4
24	chr19	56280000	57040000	0.452380952381	11	4
46	chr19	57080000	57440000	0.214285714286	11	4
14	chr19	57480000	58720000	0.738095238095	11	4
31	chr19	62440000	63000000	0.451612903226	15	4
50	chr19	63160000	63480000	0.258064516129	15	4
64	chr19	63520000	63760000	0.193548387097	15	4
18	chr19	34920000	35840000	0.319444444444	5	5
9	chr19	35880000	37800000	0.666666666667	5	5
69	chr19	39360000	39560000	0.625	48	5
106	chr19	39600000	39680000	0.25	48	5
132	chr19	40240000	40280000	0.5	107	5
83	chr19	63600000	63760000	0.666666666667	64	5
52	chr19	37520000	37800000	0.145833333333	9	6
500	chr1	1520000	1560000	0	-1	1
501	chr1	1880000	1920000	0	-1	1
338	chr1	2160000	2320000	0	-1	1
502	chr1	3320000	3360000	0	-1	1
503	chr1	3720000	3760000	0	-1	1
25	chr1	4080000	6000000	0	-1	1
505	chr1	6280000	6320000	0	-1	1
63	chr1	6680000	7760000	0	-1	1
78	chr1	7960000	8880000	0	-1	1
506	chr1	9040000	9080000	0	-1	1
181	chr1	9200000	9600000	0	-1	1
134	chr1	9800000	10360000	0	-1	1
385	chr1	10480000	10600000	0	-1	1
305	chr1	11080000	11280000	0	-1	1
433	chr1	11360000	11440000	0	-1	1
507	chr1	11840000	11880000	0	-1	1
182	chr1	12240000	12640000	0	-1	1
40	chr1	13840000	15320000	0	-1	1
508	chr1	15520000	15560000	0	-1	1
339	chr1	15800000	15960000	0	-1	1
340	chr1	16040000	16200000	0	-1	1
277	chr1	16440000	16680000	0	-1	1
509	chr1	17120000	17160000	0	-1	1
388	chr1	17360000	17480000	0	-1	1
510	chr1	17760000	17800000	0	-1	1
183	chr1	17920000	18320000	0	-1	1
250	chr1	18800000	19080000	0	-1	1
232	chr1	19120000	19440000	0	-1	1
251	chr1	19560000	19840000	0	-1	1
390	chr1	19960000	20080000	0	-1	1
135	chr1	20120000	20680000	0	-1	1
147	chr1	20880000	21400000	0	-1	1
342	chr1	21440000	21600000	0	-1	1
512	chr1	21720000	21760000	0	-1	1
392	chr1	21880000	22000000	0	-1	1
82	chr1	22280000	23160000	0	-1	1
104	chr1	23200000	23920000	0	-1	1
394	chr1	24040000	24160000	0	-1	1
136	chr1	24320000	24880000	0	-1	1
208	chr1	25080000	25440000	0	-1	1
185	chr1	25640000	26040000	0	-1	1
122	chr1	26080000	26680000	0	-1	1
187	chr1	26720000	27120000	0	-1	1
209	chr1	27160000	27520000	0	-1	1
308	chr1	27640000	27840000	0	-1	1
395	chr1	27920000	28040000	0	-1	1
253	chr1	28200000	28480000	0	-1	1
396	chr1	28600000	28720000	0	-1	1
516	chr1	28920000	28960000	0	-1	1
254	chr1	29160000	29440000	0	-1	1
48	chr1	29560000	30960000	0	-1	1
233	chr1	31000000	31320000	0	-1	1
188	chr1	31480000	31880000	0	-1	1
189	chr1	31920000	32320000	0	-1	1
442	chr1	32360000	32440000	0	-1	1
443	chr1	32480000	32560000	0	-1	1
398	chr1	32800000	32920000	0	-1	1
444	chr1	32960000	33040000	0	-1	1
399	chr1	33200000	33320000	0	-1	1
1	chr1	33440000	120320000	0	-1	1
289	chr1	143600000	143840000	0	-1	1
363	chr1	144160000	144320000	0	-1	1
541	chr1	144360000	144400000	0	-1	1
199	chr1	145360000	145760000	0	-1	1
268	chr1	148160000	148440000	0	-1	1
127	chr1	148640000	149240000	0	-1	1
364	chr1	149280000	149440000	0	-1	1
108	chr1	149560000	150280000	0	-1	1
468	chr1	150600000	150680000	0	-1	1
99	chr1	150760000	151520000	0	-1	1
545	chr1	151840000	151880000	0	-1	1
365	chr1	152080000	152240000	0	-1	1
471	chr1	152440000	152520000	0	-1	1
140	chr1	152760000	153320000	0	-1	1
547	chr1	153360000	153400000	0	-1	1
217	chr1	153560000	153920000	0	-1	1
472	chr1	154120000	154200000	0	-1	1
291	chr1	154360000	154600000	0	-1	1
327	chr1	154640000	154840000	0	-1	1
328	chr1	154960000	155160000	0	-1	1
0	chr1	155200000	247200000	0	-1	1
504	chr1	5960000	6000000	0.0208333333333	25	2
248	chr1	7680000	7960000	0.304347826087	78	2
231	chr1	8000000	8320000	0.347826086957	78	2
146	chr1	8360000	8880000	0.565217391304	78	2
431	chr1	9800000	9880000	0.142857142857	134	2
207	chr1	10000000	10360000	0.642857142857	134	2
432	chr1	10520000	10600000	0.666666666667	385	2
249	chr1	12240000	12520000	0.7	182	2
435	chr1	13920000	14000000	0.0540540540541	40	2
436	chr1	15800000	15880000	0.5	339	2
387	chr1	16080000	16200000	0.75	340	2
437	chr1	19200000	19280000	0.25	232	2
389	chr1	19320000	19440000	0.375	232	2
341	chr1	20720000	20880000	0.307692307692	147	2
391	chr1	21480000	21600000	0.75	342	2
439	chr1	21880000	21960000	0.666666666667	392	2
121	chr1	22280000	22880000	0.681818181818	82	2
343	chr1	22920000	23080000	0.181818181818	82	2
184	chr1	23200000	23600000	0.555555555556	104	2
306	chr1	23720000	23920000	0.277777777778	104	2
344	chr1	24880000	25040000	0.285714285714	136	2
252	chr1	25080000	25360000	0.777777777778	208	2
345	chr1	26080000	26240000	0.266666666667	122	2
186	chr1	26280000	26680000	0.666666666667	122	2
307	chr1	26800000	27000000	0.5	187	2
440	chr1	27920000	28000000	0.666666666667	395	2
346	chr1	29160000	29320000	0.571428571429	254	2
309	chr1	31000000	31200000	0.625	233	2
441	chr1	31240000	31320000	0.25	233	2
397	chr1	31920000	32040000	0.3	189	2
278	chr1	32080000	32320000	0.6	189	2
255	chr1	33440000	33720000	0.00322283609576	1	2
57	chr1	33840000	35000000	0.0133517495396	1	2
517	chr1	35200000	35240000	0.000460405156538	1	2
123	chr1	35440000	36040000	0.00690607734807	1	2
280	chr1	36080000	36320000	0.00276243093923	1	2
310	chr1	36360000	36560000	0.00230202578269	1	2
83	chr1	36760000	37640000	0.0101289134438	1	2
311	chr1	37840000	38040000	0.00230202578269	1	2
447	chr1	38080000	38160000	0.000920810313076	1	2
89	chr1	38280000	39120000	0.00966850828729	1	2
116	chr1	39360000	40000000	0.0073664825046	1	2
281	chr1	40040000	40280000	0.00276243093923	1	2
211	chr1	40320000	40680000	0.00414364640884	1	2
212	chr1	40920000	41280000	0.00414364640884	1	2
51	chr1	41720000	43000000	0.0147329650092	1	2
117	chr1	43040000	43680000	0.0073664825046	1	2
449	chr1	43800000	43880000	0.000920810313076	1	2
314	chr1	44000000	44200000	0.00230202578269	1	2
118	chr1	44320000	44960000	0.0073664825046	1	2
404	chr1	45120000	45240000	0.00138121546961	1	2
160	chr1	45280000	45760000	0.00552486187845	1	2
191	chr1	46080000	46480000	0.00460405156538	1	2
450	chr1	46520000	46600000	0.000920810313076	1	2
315	chr1	46760000	46960000	0.00230202578269	1	2
523	chr1	47600000	47640000	0.000460405156538	1	2
282	chr1	47720000	47960000	0.00276243093923	1	2
316	chr1	48080000	48280000	0.00230202578269	1	2
19	chr1	48400000	50600000	0.0253222836096	1	2
257	chr1	50640000	50920000	0.00322283609576	1	2
149	chr1	51040000	51560000	0.00598526703499	1	2
125	chr1	51600000	52200000	0.00690607734807	1	2
58	chr1	52320000	53480000	0.0133517495396	1	2
137	chr1	53520000	54080000	0.00644567219153	1	2
84	chr1	54120000	55000000	0.0101289134438	1	2
351	chr1	55120000	55280000	0.00184162062615	1	2
31	chr1	55320000	57040000	0.0197974217311	1	2
28	chr1	57080000	58920000	0.0211786372007	1	2
2	chr1	60080000	108560000	0.558011049724	1	2
538	chr1	108880000	108920000	0.000460405156538	1	2
238	chr1	109040000	109360000	0.0036832412523	1	2
155	chr1	109400000	109920000	0.00598526703499	1	2
539	chr1	110080000	110120000	0.000460405156538	1	2
321	chr1	110160000	110360000	0.00230202578269	1	2
165	chr1	110400000	110880000	0.00552486187845	1	2
286	chr1	110920000	111160000	0.00276243093923	1	2
55	chr1	111480000	112720000	0.0142725598527	1	2
266	chr1	112760000	113040000	0.00322283609576	1	2
287	chr1	113160000	113400000	0.00276243093923	1	2
35	chr1	113480000	115120000	0.018876611418	1	2
30	chr1	115160000	116960000	0.0207182320442	1	2
324	chr1	117080000	117280000	0.00230202578269	1	2
39	chr1	118320000	119840000	0.0174953959484	1	2
288	chr1	120080000	120320000	0.00276243093923	1	2
267	chr1	145480000	145760000	0.7	199	2
412	chr1	148640000	148760000	0.2	127	2
216	chr1	148880000	149240000	0.6	127	2
466	chr1	149320000	149400000	0.5	364	2
467	chr1	149360000	149440000	0.5	364	2
176	chr1	149560000	150000000	0.611111111111	108	2
290	chr1	150040000	150280000	0.333333333333	108	2
542	chr1	150600000	150640000	0.5	468	2
469	chr1	150960000	151040000	0.105263157895	99	2
470	chr1	151240000	151320000	0.105263157895	99	2
414	chr1	151480000	151600000	0.157894736842	99	2
415	chr1	152080000	152200000	0.75	365	2
200	chr1	152760000	153160000	0.714285714286	140	2
546	chr1	153280000	153320000	0.0714285714286	140	2
326	chr1	153560000	153760000	0.555555555556	217	2
549	chr1	153920000	153960000	0.111111111111	217	2
473	chr1	154760000	154840000	0.4	327	2
416	chr1	155200000	155320000	0.00130434782609	0	2
550	chr1	155360000	155400000	0.000434782608696	0	2
